TRY,source,STATUS_CODE,title,summary,date,link,type,ERROR,TIME
1,fontanka,200,30,30,30,30,30,,02:11.4
1,rbc,200,30,30,30,30,30,,02:11.4
2,izvestia,403,,,,,,,02:11.4
3,izvestia,403,,,,,,,02:11.4
1,ria,200,99,0,99,99,99,,03:28.5
1,tass,200,99,95,99,99,99,,03:28.5
1,rosbalt,200,100,100,100,100,100,,03:28.5
1,ura,200,170,170,170,170,0,,03:28.5
1,mail,200,20,20,20,20,20,,03:28.5
1,regnum,200,100,100,100,100,97,,03:28.5
1,izvestia,403,,,,,,,03:28.5
1,lenta,200,200,200,200,200,200,,03:28.5
1,kp,,,,,,,"HTTPSConnectionPool(host='www.kp.ru', port=443): Read timed out. (read timeout=20)",03:28.5
1,interfax,200,25,25,25,25,25,,03:28.5
1,vedomosti,200,200,200,200,200,190,,03:28.5
1,aif,200,295,295,295,295,295,,03:28.5
1,rg,200,100,100,100,100,0,,03:28.5
1,argumenti,200,30,30,30,30,30,,03:28.5
1,pravda,200,20,20,20,20,20,,03:28.5
1,fontanka,200,30,30,30,30,30,,03:28.5
1,rbc,200,30,30,30,30,30,,03:28.5
2,izvestia,403,,,,,,,03:28.5
2,kp,200,200,200,200,200,200,,03:28.5
3,izvestia,403,,,,,,,03:28.5
1,ria,200,100,0,100,100,100,,02:07.7
1,tass,200,99,98,99,99,99,,02:07.7
1,rosbalt,200,100,100,100,100,100,,02:07.7
1,ura,200,170,170,170,170,0,,02:07.7
1,mail,200,20,20,20,20,20,,02:07.7
1,regnum,200,100,100,100,100,96,,02:07.7
1,izvestia,403,,,,,,,02:07.7
1,lenta,200,200,200,200,200,200,,02:07.7
1,kp,200,200,200,200,200,200,,02:07.7
1,interfax,200,25,25,25,25,25,,02:07.7
1,vedomosti,200,200,200,200,200,190,,02:07.7
1,aif,200,294,294,294,294,294,,02:07.7
1,rg,200,100,100,100,100,0,,02:07.7
1,argumenti,200,30,30,30,30,30,,02:07.7
1,pravda,200,20,20,20,20,20,,02:07.7
1,fontanka,200,30,30,30,30,30,,02:07.7
1,rbc,200,30,30,30,30,30,,02:07.7
2,izvestia,403,,,,,,,02:07.7
3,izvestia,403,,,,,,,02:07.7
1,ria,200,100,0,100,100,100,,02:12.2
1,tass,200,100,100,100,100,100,,02:12.2
1,rosbalt,200,100,100,100,100,100,,02:12.2
1,ura,200,170,170,170,170,0,,02:12.2
1,mail,200,20,20,20,20,20,,02:12.2
1,regnum,200,100,100,100,100,97,,02:12.2
1,izvestia,403,,,,,,,02:12.2
1,lenta,200,200,200,200,200,200,,02:12.2
1,kp,200,200,200,200,200,200,,02:12.2
1,interfax,200,25,25,25,25,25,,02:12.2
1,vedomosti,200,200,200,200,200,190,,02:12.2
1,aif,,,,,,,"HTTPSConnectionPool(host='aif.ru', port=443): Read timed out. (read timeout=20)",02:12.2
1,rg,200,100,100,100,100,0,,02:12.2
1,argumenti,200,30,30,30,30,30,,02:12.2
1,pravda,200,20,20,20,20,20,,02:12.2
1,fontanka,200,30,30,30,30,30,,02:12.2
1,rbc,200,30,30,30,30,30,,02:12.2
2,izvestia,403,,,,,,,02:12.2
2,aif,200,287,286,287,287,287,,02:12.2
3,izvestia,403,,,,,,,02:12.2
1,ria,200,100,0,100,100,100,,02:05.5
1,tass,200,100,100,100,100,100,,02:05.5
1,rosbalt,200,100,100,100,100,100,,02:05.5
1,ura,200,170,170,170,170,0,,02:05.5
1,mail,200,20,20,20,20,20,,02:05.5
1,regnum,200,100,100,100,100,97,,02:05.5
1,izvestia,403,,,,,,,02:05.5
1,lenta,200,200,200,200,200,200,,02:05.5
1,kp,200,200,200,200,200,200,,02:05.5
1,interfax,200,25,25,25,25,25,,02:05.5
1,vedomosti,200,200,200,200,200,190,,02:05.5
1,aif,200,285,285,285,285,285,,02:05.5
1,rg,200,100,100,100,100,0,,02:05.5
1,argumenti,200,30,30,30,30,30,,02:05.5
1,pravda,200,20,20,20,20,20,,02:05.5
1,fontanka,200,30,30,30,30,30,,02:05.5
1,rbc,200,30,30,30,30,30,,02:05.5
2,izvestia,403,,,,,,,02:05.5
3,izvestia,403,,,,,,,02:05.5
1,ria,200,100,0,100,100,100,,10:40.0
1,tass,200,100,96,100,100,100,,10:40.0
1,rosbalt,200,100,100,100,100,100,,10:40.0
1,ura,200,170,170,170,170,0,,10:40.0
1,mail,200,20,20,20,20,20,,10:40.0
1,regnum,200,100,100,100,100,97,,10:40.0
1,izvestia,403,,,,,,,10:40.0
1,lenta,200,200,200,200,200,200,,10:40.0
1,kp,200,200,200,200,200,200,,10:40.0
1,interfax,200,25,25,25,25,25,,10:40.0
1,vedomosti,200,200,200,200,200,190,,10:40.0
1,aif,200,284,284,284,284,284,,10:40.0
1,rg,200,100,100,100,100,0,,10:40.0
1,argumenti,200,30,30,30,30,30,,10:40.0
1,pravda,200,20,20,20,20,20,,10:40.0
1,fontanka,200,30,30,30,30,30,,10:40.0
1,rbc,200,30,30,30,30,30,,10:40.0
2,izvestia,403,,,,,,,10:40.0
3,izvestia,403,,,,,,,10:40.0
1,ria,200,100,0,100,100,100,,2023-05-28 00:01:01.351900
1,tass,200,99,99,99,99,99,,2023-05-28 00:01:01.351911
1,rosbalt,200,100,100,100,100,100,,2023-05-28 00:01:01.351914
1,ura,200,170,170,170,170,0,,2023-05-28 00:01:01.351917
1,mail,200,20,20,20,20,20,,2023-05-28 00:01:01.351920
1,regnum,200,100,100,100,100,97,,2023-05-28 00:01:01.351923
1,izvestia,403,,,,,,,2023-05-28 00:01:01.351926
1,lenta,200,200,200,200,200,200,,2023-05-28 00:01:01.351929
1,kp,200,200,200,200,200,200,,2023-05-28 00:01:01.351931
1,interfax,200,25,25,25,25,25,,2023-05-28 00:01:01.351934
1,vedomosti,200,200,200,200,200,190,,2023-05-28 00:01:01.351937
1,aif,200,282,282,282,282,282,,2023-05-28 00:01:01.351940
1,rg,200,100,100,100,100,0,,2023-05-28 00:01:01.351943
1,argumenti,200,30,30,30,30,30,,2023-05-28 00:01:01.351945
1,pravda,200,20,20,20,20,20,,2023-05-28 00:01:01.351948
1,fontanka,200,30,30,30,30,30,,2023-05-28 00:01:01.351951
1,rbc,200,30,30,30,30,30,,2023-05-28 00:01:01.351953
2,izvestia,403,,,,,,,2023-05-28 00:01:01.351956
3,izvestia,403,,,,,,,2023-05-28 00:01:01.351959
1,ria,200,100,0,100,100,100,,2023-05-28 02:01:15.950287
1,tass,200,99,98,99,99,99,,2023-05-28 02:01:15.950292
1,rosbalt,200,100,100,100,100,100,,2023-05-28 02:01:15.950294
1,ura,200,170,170,170,170,0,,2023-05-28 02:01:15.950297
1,mail,200,20,20,20,20,20,,2023-05-28 02:01:15.950299
1,regnum,200,100,100,100,100,98,,2023-05-28 02:01:15.950302
1,izvestia,403,,,,,,,2023-05-28 02:01:15.950304
1,lenta,200,200,200,200,200,200,,2023-05-28 02:01:15.950307
1,kp,200,200,200,200,200,200,,2023-05-28 02:01:15.950309
1,interfax,200,25,25,25,25,25,,2023-05-28 02:01:15.950312
1,vedomosti,200,200,200,200,200,190,,2023-05-28 02:01:15.950314
1,aif,200,278,278,278,278,278,,2023-05-28 02:01:15.950317
1,rg,200,100,100,100,100,0,,2023-05-28 02:01:15.950319
1,argumenti,200,30,30,30,30,30,,2023-05-28 02:01:15.950321
1,pravda,200,20,20,20,20,20,,2023-05-28 02:01:15.950324
1,fontanka,200,30,30,30,30,30,,2023-05-28 02:01:15.950326
1,rbc,200,30,30,30,30,30,,2023-05-28 02:01:15.950329
2,izvestia,403,,,,,,,2023-05-28 02:01:15.950331
3,izvestia,403,,,,,,,2023-05-28 02:01:15.950334
1,ria,200,100,0,100,100,100,,2023-05-28 04:01:29.490630
1,tass,200,99,97,99,99,99,,2023-05-28 04:01:29.490636
1,rosbalt,200,100,100,100,100,100,,2023-05-28 04:01:29.490638
1,ura,200,170,170,170,170,0,,2023-05-28 04:01:29.490641
1,mail,200,20,20,20,20,20,,2023-05-28 04:01:29.490643
1,regnum,200,100,100,100,100,100,,2023-05-28 04:01:29.490646
1,izvestia,403,,,,,,,2023-05-28 04:01:29.490649
1,lenta,200,200,200,200,200,200,,2023-05-28 04:01:29.490651
1,kp,,,,,,,"HTTPSConnectionPool(host='www.kp.ru', port=443): Read timed out. (read timeout=20)",2023-05-28 04:01:29.490653
1,interfax,200,25,25,25,25,25,,2023-05-28 04:01:29.490656
1,vedomosti,200,200,200,200,200,190,,2023-05-28 04:01:29.490658
1,aif,200,276,276,276,276,276,,2023-05-28 04:01:29.490661
1,rg,200,100,100,100,100,0,,2023-05-28 04:01:29.490663
1,argumenti,200,30,30,30,30,30,,2023-05-28 04:01:29.490666
1,pravda,200,20,20,20,20,20,,2023-05-28 04:01:29.490668
1,fontanka,200,30,30,30,30,30,,2023-05-28 04:01:29.490670
1,rbc,200,30,30,30,30,30,,2023-05-28 04:01:29.490673
2,izvestia,403,,,,,,,2023-05-28 04:01:29.490675
2,kp,200,200,200,200,200,200,,2023-05-28 04:01:29.490678
3,izvestia,403,,,,,,,2023-05-28 04:01:29.490680
1,ria,200,100,0,100,100,100,,2023-05-28 06:00:48.194824
1,tass,200,98,97,98,98,98,,2023-05-28 06:00:48.194829
1,rosbalt,200,100,100,100,100,100,,2023-05-28 06:00:48.194831
1,ura,200,170,170,170,170,0,,2023-05-28 06:00:48.194834
1,mail,200,20,20,20,20,20,,2023-05-28 06:00:48.194836
1,regnum,200,100,100,100,100,99,,2023-05-28 06:00:48.194839
1,izvestia,403,,,,,,,2023-05-28 06:00:48.194842
1,lenta,200,200,200,200,200,200,,2023-05-28 06:00:48.194844
1,kp,200,200,200,200,200,200,,2023-05-28 06:00:48.194846
1,interfax,200,25,25,25,25,25,,2023-05-28 06:00:48.194849
1,vedomosti,200,200,200,200,200,190,,2023-05-28 06:00:48.194852
1,aif,200,277,277,277,277,277,,2023-05-28 06:00:48.194854
1,rg,200,100,100,100,100,0,,2023-05-28 06:00:48.194856
1,argumenti,200,30,30,30,30,30,,2023-05-28 06:00:48.194859
1,pravda,200,20,20,20,20,20,,2023-05-28 06:00:48.194861
1,fontanka,200,30,30,30,30,30,,2023-05-28 06:00:48.194864
1,rbc,200,30,30,30,30,30,,2023-05-28 06:00:48.194866
2,izvestia,403,,,,,,,2023-05-28 06:00:48.194869
3,izvestia,403,,,,,,,2023-05-28 06:00:48.194871
1,ria,200,100,0,100,100,100,,2023-05-28 08:00:52.994657
1,tass,200,98,97,98,98,98,,2023-05-28 08:00:52.994662
1,rosbalt,200,100,100,100,100,100,,2023-05-28 08:00:52.994665
1,ura,200,170,170,170,170,0,,2023-05-28 08:00:52.994667
1,mail,200,20,20,20,20,20,,2023-05-28 08:00:52.994670
1,regnum,200,100,100,100,100,99,,2023-05-28 08:00:52.994673
1,izvestia,403,,,,,,,2023-05-28 08:00:52.994675
1,lenta,200,200,200,200,200,200,,2023-05-28 08:00:52.994677
1,kp,200,200,200,200,200,200,,2023-05-28 08:00:52.994680
1,interfax,200,25,25,25,25,25,,2023-05-28 08:00:52.994682
1,vedomosti,200,200,200,200,200,190,,2023-05-28 08:00:52.994685
1,aif,200,276,276,276,276,276,,2023-05-28 08:00:52.994687
1,rg,200,100,100,100,100,0,,2023-05-28 08:00:52.994689
1,argumenti,200,30,30,30,30,30,,2023-05-28 08:00:52.994692
1,pravda,200,20,20,20,20,20,,2023-05-28 08:00:52.994694
1,fontanka,200,30,30,30,30,30,,2023-05-28 08:00:52.994697
1,rbc,200,30,30,30,30,30,,2023-05-28 08:00:52.994699
2,izvestia,403,,,,,,,2023-05-28 08:00:52.994702
3,izvestia,403,,,,,,,2023-05-28 08:00:52.994704
1,ria,200,100,0,100,100,100,,2023-05-28 10:00:48.023715
1,tass,200,98,97,98,98,98,,2023-05-28 10:00:48.023720
1,rosbalt,200,100,100,100,100,100,,2023-05-28 10:00:48.023722
1,ura,200,170,170,170,170,0,,2023-05-28 10:00:48.023725
1,mail,200,20,20,20,20,20,,2023-05-28 10:00:48.023727
1,regnum,200,100,100,100,100,99,,2023-05-28 10:00:48.023730
1,izvestia,403,,,,,,,2023-05-28 10:00:48.023732
1,lenta,200,200,200,200,200,200,,2023-05-28 10:00:48.023735
1,kp,200,200,200,200,200,200,,2023-05-28 10:00:48.023737
1,interfax,200,25,25,25,25,25,,2023-05-28 10:00:48.023740
1,vedomosti,200,200,200,200,200,190,,2023-05-28 10:00:48.023742
1,aif,200,275,275,275,275,275,,2023-05-28 10:00:48.023745
1,rg,200,100,100,100,100,0,,2023-05-28 10:00:48.023747
1,argumenti,200,30,30,30,30,30,,2023-05-28 10:00:48.023750
1,pravda,200,20,20,20,20,20,,2023-05-28 10:00:48.023752
1,fontanka,200,30,30,30,30,30,,2023-05-28 10:00:48.023754
1,rbc,200,30,30,30,30,30,,2023-05-28 10:00:48.023757
2,izvestia,403,,,,,,,2023-05-28 10:00:48.023759
3,izvestia,403,,,,,,,2023-05-28 10:00:48.023762
1,ria,200,100,0,100,100,100,,2023-05-28 12:00:50.048056
1,tass,200,99,96,99,99,99,,2023-05-28 12:00:50.048062
1,rosbalt,200,100,100,100,100,100,,2023-05-28 12:00:50.048064
1,ura,200,170,170,170,170,0,,2023-05-28 12:00:50.048067
1,mail,200,20,20,20,20,20,,2023-05-28 12:00:50.048069
1,regnum,200,100,100,100,100,97,,2023-05-28 12:00:50.048072
1,izvestia,403,,,,,,,2023-05-28 12:00:50.048075
1,lenta,200,200,200,200,200,200,,2023-05-28 12:00:50.048077
1,kp,200,200,200,200,200,200,,2023-05-28 12:00:50.048079
1,interfax,200,25,25,25,25,25,,2023-05-28 12:00:50.048082
1,vedomosti,200,200,200,200,200,190,,2023-05-28 12:00:50.048084
1,aif,200,276,276,276,276,276,,2023-05-28 12:00:50.048087
1,rg,200,100,100,100,100,0,,2023-05-28 12:00:50.048089
1,argumenti,200,30,30,30,30,30,,2023-05-28 12:00:50.048092
1,pravda,200,20,20,20,20,20,,2023-05-28 12:00:50.048094
1,fontanka,200,30,30,30,30,30,,2023-05-28 12:00:50.048096
1,rbc,200,30,30,30,30,30,,2023-05-28 12:00:50.048099
2,izvestia,403,,,,,,,2023-05-28 12:00:50.048101
3,izvestia,403,,,,,,,2023-05-28 12:00:50.048104
1,ria,200,100,0,100,100,100,,2023-05-28 14:00:59.681534
1,tass,200,100,100,100,100,100,,2023-05-28 14:00:59.681537
1,rosbalt,200,100,100,100,100,100,,2023-05-28 14:00:59.681538
1,ura,200,170,170,170,170,0,,2023-05-28 14:00:59.681539
1,mail,200,20,20,20,20,20,,2023-05-28 14:00:59.681540
1,regnum,200,100,100,100,100,97,,2023-05-28 14:00:59.681542
1,izvestia,403,,,,,,,2023-05-28 14:00:59.681543
1,lenta,200,200,200,200,200,200,,2023-05-28 14:00:59.681544
1,kp,200,200,200,200,200,200,,2023-05-28 14:00:59.681545
1,interfax,200,25,25,25,25,25,,2023-05-28 14:00:59.681546
1,vedomosti,200,200,200,200,200,190,,2023-05-28 14:00:59.681548
1,aif,200,274,274,274,274,274,,2023-05-28 14:00:59.681549
1,rg,200,100,100,100,100,0,,2023-05-28 14:00:59.681550
1,argumenti,200,30,30,30,30,30,,2023-05-28 14:00:59.681551
1,pravda,200,20,20,20,20,20,,2023-05-28 14:00:59.681553
1,fontanka,200,30,30,30,30,30,,2023-05-28 14:00:59.681554
1,rbc,200,30,30,30,30,30,,2023-05-28 14:00:59.681555
2,izvestia,403,,,,,,,2023-05-28 14:00:59.681556
3,izvestia,403,,,,,,,2023-05-28 14:00:59.681557
1,ria,200,100,0,100,100,100,,2023-05-28 16:00:49.536487
1,tass,200,100,99,100,100,100,,2023-05-28 16:00:49.536495
1,rosbalt,200,100,100,100,100,100,,2023-05-28 16:00:49.536498
1,ura,200,170,170,170,170,0,,2023-05-28 16:00:49.536500
1,mail,200,20,20,20,20,20,,2023-05-28 16:00:49.536503
1,regnum,200,100,100,100,100,98,,2023-05-28 16:00:49.536506
1,izvestia,403,,,,,,,2023-05-28 16:00:49.536509
1,lenta,200,200,200,200,200,200,,2023-05-28 16:00:49.536512
1,kp,200,200,200,200,200,200,,2023-05-28 16:00:49.536514
1,interfax,200,25,25,25,25,25,,2023-05-28 16:00:49.536517
1,vedomosti,200,200,200,200,200,190,,2023-05-28 16:00:49.536520
1,aif,200,270,270,270,270,270,,2023-05-28 16:00:49.536523
1,rg,200,100,100,100,100,0,,2023-05-28 16:00:49.536526
1,argumenti,200,30,30,30,30,30,,2023-05-28 16:00:49.536528
1,pravda,200,20,20,20,20,20,,2023-05-28 16:00:49.536531
1,fontanka,200,30,30,30,30,30,,2023-05-28 16:00:49.536534
1,rbc,200,30,30,30,30,30,,2023-05-28 16:00:49.536536
2,izvestia,403,,,,,,,2023-05-28 16:00:49.536540
3,izvestia,403,,,,,,,2023-05-28 16:00:49.536542
1,ria,200,100,0,100,100,100,,2023-05-28 18:00:51.215851
1,tass,200,100,99,100,100,100,,2023-05-28 18:00:51.215857
1,rosbalt,200,100,100,100,100,100,,2023-05-28 18:00:51.215860
1,ura,200,170,170,170,170,0,,2023-05-28 18:00:51.215863
1,mail,200,20,20,20,20,20,,2023-05-28 18:00:51.215866
1,regnum,200,100,100,100,100,94,,2023-05-28 18:00:51.215869
1,izvestia,403,,,,,,,2023-05-28 18:00:51.215872
1,lenta,200,200,200,200,200,200,,2023-05-28 18:00:51.215875
1,kp,200,200,200,200,200,200,,2023-05-28 18:00:51.215877
1,interfax,200,25,25,25,25,25,,2023-05-28 18:00:51.215880
1,vedomosti,200,200,200,200,200,190,,2023-05-28 18:00:51.215883
1,aif,200,268,268,268,268,268,,2023-05-28 18:00:51.215886
1,rg,200,100,100,100,100,0,,2023-05-28 18:00:51.215889
1,argumenti,200,30,30,30,30,30,,2023-05-28 18:00:51.216009
1,pravda,200,20,20,20,20,20,,2023-05-28 18:00:51.216019
1,fontanka,200,30,30,30,30,30,,2023-05-28 18:00:51.216021
1,rbc,200,30,30,30,30,30,,2023-05-28 18:00:51.216024
2,izvestia,403,,,,,,,2023-05-28 18:00:51.216028
3,izvestia,403,,,,,,,2023-05-28 18:00:51.216030
1,ria,200,100,0,100,100,100,,2023-05-28 20:01:27.492071
1,tass,200,100,99,100,100,100,,2023-05-28 20:01:27.492085
1,rosbalt,200,100,100,100,100,100,,2023-05-28 20:01:27.492088
1,ura,200,170,170,170,170,0,,2023-05-28 20:01:27.492091
1,mail,200,20,20,20,20,20,,2023-05-28 20:01:27.492094
1,regnum,200,100,100,100,100,94,,2023-05-28 20:01:27.492097
1,izvestia,403,,,,,,,2023-05-28 20:01:27.492100
1,lenta,200,200,200,200,200,200,,2023-05-28 20:01:27.492102
1,kp,200,200,200,200,200,200,,2023-05-28 20:01:27.492105
1,interfax,200,25,25,25,25,25,,2023-05-28 20:01:27.492108
1,vedomosti,200,200,200,200,200,190,,2023-05-28 20:01:27.492110
1,aif,,,,,,,"HTTPSConnectionPool(host='aif.ru', port=443): Read timed out. (read timeout=20)",2023-05-28 20:01:27.492113
1,rg,200,100,100,100,100,0,,2023-05-28 20:01:27.492116
1,argumenti,200,30,30,30,30,30,,2023-05-28 20:01:27.492118
1,pravda,200,20,20,20,20,20,,2023-05-28 20:01:27.492121
1,fontanka,200,30,30,30,30,30,,2023-05-28 20:01:27.492124
1,rbc,200,30,30,30,30,30,,2023-05-28 20:01:27.492126
2,izvestia,403,,,,,,,2023-05-28 20:01:27.492129
2,aif,200,266,266,266,266,266,,2023-05-28 20:01:27.492132
3,izvestia,403,,,,,,,2023-05-28 20:01:27.492134
1,ria,200,100,0,100,100,100,,2023-05-28 22:01:47.151493
1,tass,200,100,96,100,100,100,,2023-05-28 22:01:47.151504
1,rosbalt,200,100,100,100,100,100,,2023-05-28 22:01:47.151507
1,ura,200,170,170,170,170,0,,2023-05-28 22:01:47.151509
1,mail,200,20,20,20,20,20,,2023-05-28 22:01:47.151511
1,regnum,200,100,100,100,100,95,,2023-05-28 22:01:47.151514
1,izvestia,403,,,,,,,2023-05-28 22:01:47.151516
1,lenta,200,200,200,200,200,200,,2023-05-28 22:01:47.151519
1,kp,,,,,,,"HTTPSConnectionPool(host='www.kp.ru', port=443): Read timed out. (read timeout=20)",2023-05-28 22:01:47.151521
1,interfax,200,25,25,25,25,25,,2023-05-28 22:01:47.151524
1,vedomosti,200,200,200,200,200,191,,2023-05-28 22:01:47.151527
1,aif,200,266,266,266,266,266,,2023-05-28 22:01:47.151529
1,rg,200,100,100,100,100,0,,2023-05-28 22:01:47.151531
1,argumenti,200,30,30,30,30,30,,2023-05-28 22:01:47.151534
1,pravda,200,20,20,20,20,20,,2023-05-28 22:01:47.151536
1,fontanka,200,30,30,30,30,30,,2023-05-28 22:01:47.151538
1,rbc,200,30,30,30,30,30,,2023-05-28 22:01:47.151541
2,izvestia,403,,,,,,,2023-05-28 22:01:47.151543
2,kp,,,,,,,"HTTPSConnectionPool(host='www.kp.ru', port=443): Read timed out. (read timeout=20)",2023-05-28 22:01:47.151546
3,izvestia,403,,,,,,,2023-05-28 22:01:47.151548
3,kp,200,200,200,200,200,200,,2023-05-28 22:01:47.151551
1,ria,200,100,0,100,100,100,,2023-05-29 00:01:05.119652
1,tass,200,100,98,100,100,100,,2023-05-29 00:01:05.119663
1,rosbalt,200,100,100,100,100,100,,2023-05-29 00:01:05.119666
1,ura,200,170,170,170,170,0,,2023-05-29 00:01:05.119669
