proxy_id,proxy,TRY,source,STATUS_CODE,title,summary,date,link,type,ERROR,TIME
1,socks4://178.48.68.61:4145,1,tvrain,403,,,,,,,2023-05-27 18:04:24.692794
1,socks4://178.48.68.61:4145,1,mediazona,403,,,,,,,2023-05-27 18:04:24.692803
1,socks4://178.48.68.61:4145,1,svoboda,200,20,20,20,20,20,,2023-05-27 18:04:24.692805
1,socks4://178.48.68.61:4145,1,currenttime,200,20,20,20,20,20,,2023-05-27 18:04:24.692808
1,socks4://178.48.68.61:4145,1,meduza,200,30,30,30,30,0,,2023-05-27 18:04:24.692810
1,socks4://178.48.68.61:4145,1,thebell,403,,,,,,,2023-05-27 18:04:24.692813
1,socks4://178.48.68.61:4145,1,novyagazeta,200,100,100,100,100,100,,2023-05-27 18:04:24.692815
1,socks4://178.48.68.61:4145,2,tvrain,403,,,,,,,2023-05-27 18:04:24.692818
1,socks4://178.48.68.61:4145,2,mediazona,,,,,,,"SOCKSHTTPSConnectionPool(host='zona.media', port=443): Max retries exceeded with url: /rss (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x7f5799a99790>: Failed to establish a new connection: Connection closed unexpectedly'))",2023-05-27 18:04:24.692820
1,socks4://178.48.68.61:4145,2,thebell,,,,,,,"SOCKSHTTPSConnectionPool(host='thebell.io', port=443): Max retries exceeded with url: /category/news (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x7f57996e5100>: Failed to establish a new connection: Connection closed unexpectedly'))",2023-05-27 18:04:24.692823
1,socks4://178.48.68.61:4145,3,tvrain,403,,,,,,,2023-05-27 18:04:24.692826
1,socks4://178.48.68.61:4145,3,mediazona,403,,,,,,,2023-05-27 18:04:24.692828
1,socks4://178.48.68.61:4145,3,thebell,403,,,,,,,2023-05-27 18:04:24.692830
2,socks4://58.75.126.235:4145,1,tvrain,,,,,,,"SOCKSHTTPSConnectionPool(host='tvrain.tv', port=443): Max retries exceeded with url: /export/rss/all.xml (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x7f5799599eb0>: Failed to establish a new connection: Connection closed unexpectedly'))",2023-05-27 18:04:24.692833
2,socks4://58.75.126.235:4145,1,mediazona,,,,,,,"SOCKSHTTPSConnectionPool(host='zona.media', port=443): Max retries exceeded with url: /rss (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x7f57995a0fd0>: Failed to establish a new connection: [Errno 104] Connection reset by peer'))",2023-05-27 18:04:24.692835
2,socks4://58.75.126.235:4145,1,thebell,,,,,,,"SOCKSHTTPSConnectionPool(host='thebell.io', port=443): Max retries exceeded with url: /category/news (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x7f57996e5bb0>: Failed to establish a new connection: Connection closed unexpectedly'))",2023-05-27 18:04:24.692837
2,socks4://58.75.126.235:4145,2,tvrain,,,,,,,"SOCKSHTTPSConnectionPool(host='tvrain.tv', port=443): Max retries exceeded with url: /export/rss/all.xml (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x7f57999f2490>: Failed to establish a new connection: Connection closed unexpectedly'))",2023-05-27 18:04:24.692839
2,socks4://58.75.126.235:4145,2,mediazona,,,,,,,"SOCKSHTTPSConnectionPool(host='zona.media', port=443): Max retries exceeded with url: /rss (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x7f5799599cd0>: Failed to establish a new connection: Connection closed unexpectedly'))",2023-05-27 18:04:24.692841
2,socks4://58.75.126.235:4145,2,thebell,403,,,,,,,2023-05-27 18:04:24.692843
2,socks4://58.75.126.235:4145,3,tvrain,,,,,,,"SOCKSHTTPSConnectionPool(host='tvrain.tv', port=443): Max retries exceeded with url: /export/rss/all.xml (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x7f5799a99070>: Failed to establish a new connection: Connection closed unexpectedly'))",2023-05-27 18:04:24.692845
2,socks4://58.75.126.235:4145,3,mediazona,,,,,,,"SOCKSHTTPSConnectionPool(host='zona.media', port=443): Max retries exceeded with url: /rss (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x7f57995a0dc0>: Failed to establish a new connection: [Errno 104] Connection reset by peer'))",2023-05-27 18:04:24.692848
2,socks4://58.75.126.235:4145,3,thebell,,,,,,,"SOCKSHTTPSConnectionPool(host='thebell.io', port=443): Max retries exceeded with url: /category/news (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x7f57996e5610>: Failed to establish a new connection: [Errno 104] Connection reset by peer'))",2023-05-27 18:04:24.692851
