TRY,source,STATUS_CODE,title,summary,date,link,type,ERROR,TIME
1,rosbalt,200,100,100,100,100,100,,2023-05-27 10:02:03.692536
1,ura,200,170,170,170,170,0,,2023-05-27 10:02:03.692539
1,mail,200,20,20,20,20,20,,2023-05-27 10:02:03.692541
1,regnum,200,100,100,100,100,97,,2023-05-27 10:02:03.692544
1,izvestia,403,,,,,,,2023-05-27 10:02:03.692547
1,lenta,200,200,200,200,200,200,,2023-05-27 10:02:03.692549
1,kp,200,200,200,200,200,200,,2023-05-27 10:02:03.692552
1,interfax,200,25,25,25,25,25,,2023-05-27 10:02:03.692554
1,vedomosti,200,200,200,200,200,190,,2023-05-27 10:02:03.692557
1,aif,200,301,301,301,301,301,,2023-05-27 10:02:03.692559
1,rg,200,100,100,100,100,0,,2023-05-27 10:02:03.692562
1,argumenti,200,30,30,30,30,30,,2023-05-27 10:02:03.692564
1,pravda,200,20,20,20,20,20,,2023-05-27 10:02:03.692567
1,fontanka,200,30,30,30,30,30,,2023-05-27 10:02:03.692569
1,rbc,200,30,30,30,30,30,,2023-05-27 10:02:03.692571
2,izvestia,403,,,,,,,2023-05-27 10:02:03.692574
3,izvestia,403,,,,,,,2023-05-27 10:02:03.692577
1,ria,200,99,0,99,99,99,,2023-05-27 12:02:11.379407
1,tass,200,97,89,97,97,97,,2023-05-27 12:02:11.379412
1,rosbalt,200,100,100,100,100,100,,2023-05-27 12:02:11.379414
1,ura,200,170,170,170,170,0,,2023-05-27 12:02:11.379417
1,mail,200,20,20,20,20,20,,2023-05-27 12:02:11.379419
1,regnum,503,0,0,0,0,0,,2023-05-27 12:02:11.379422
1,izvestia,403,,,,,,,2023-05-27 12:02:11.379424
1,lenta,200,200,200,200,200,200,,2023-05-27 12:02:11.379427
1,kp,200,200,200,200,200,200,,2023-05-27 12:02:11.379429
1,interfax,200,25,25,25,25,25,,2023-05-27 12:02:11.379432
1,vedomosti,200,200,200,200,200,190,,2023-05-27 12:02:11.379434
1,aif,200,296,295,296,296,296,,2023-05-27 12:02:11.379436
1,rg,200,100,100,100,100,0,,2023-05-27 12:02:11.379439
1,argumenti,200,30,30,30,30,30,,2023-05-27 12:02:11.379441
1,pravda,200,20,20,20,20,20,,2023-05-27 12:02:11.379444
1,fontanka,200,30,30,30,30,30,,2023-05-27 12:02:11.379446
1,rbc,200,30,30,30,30,30,,2023-05-27 12:02:11.379449
2,izvestia,403,,,,,,,2023-05-27 12:02:11.379451
3,izvestia,403,,,,,,,2023-05-27 12:02:11.379454
1,ria,200,99,0,99,99,99,,2023-05-27 14:03:28.541480
1,tass,200,99,95,99,99,99,,2023-05-27 14:03:28.541482
1,rosbalt,200,100,100,100,100,100,,2023-05-27 14:03:28.541484
1,ura,200,170,170,170,170,0,,2023-05-27 14:03:28.541485
1,mail,200,20,20,20,20,20,,2023-05-27 14:03:28.541486
1,regnum,200,100,100,100,100,97,,2023-05-27 14:03:28.541487
1,izvestia,403,,,,,,,2023-05-27 14:03:28.541489
1,lenta,200,200,200,200,200,200,,2023-05-27 14:03:28.541490
1,kp,,,,,,,"HTTPSConnectionPool(host='www.kp.ru', port=443): Read timed out. (read timeout=20)",2023-05-27 14:03:28.541491
1,interfax,200,25,25,25,25,25,,2023-05-27 14:03:28.541492
1,vedomosti,200,200,200,200,200,190,,2023-05-27 14:03:28.541493
1,aif,200,295,295,295,295,295,,2023-05-27 14:03:28.541494
1,rg,200,100,100,100,100,0,,2023-05-27 14:03:28.541496
1,argumenti,200,30,30,30,30,30,,2023-05-27 14:03:28.541497
1,pravda,200,20,20,20,20,20,,2023-05-27 14:03:28.541498
1,fontanka,200,30,30,30,30,30,,2023-05-27 14:03:28.541499
1,rbc,200,30,30,30,30,30,,2023-05-27 14:03:28.541500
2,izvestia,403,,,,,,,2023-05-27 14:03:28.541501
2,kp,200,200,200,200,200,200,,2023-05-27 14:03:28.541503
3,izvestia,403,,,,,,,2023-05-27 14:03:28.541504
1,ria,200,100,0,100,100,100,,2023-05-27 16:02:07.721123
1,tass,200,99,98,99,99,99,,2023-05-27 16:02:07.721134
1,rosbalt,200,100,100,100,100,100,,2023-05-27 16:02:07.721136
1,ura,200,170,170,170,170,0,,2023-05-27 16:02:07.721139
1,mail,200,20,20,20,20,20,,2023-05-27 16:02:07.721143
1,regnum,200,100,100,100,100,96,,2023-05-27 16:02:07.721146
1,izvestia,403,,,,,,,2023-05-27 16:02:07.721149
1,lenta,200,200,200,200,200,200,,2023-05-27 16:02:07.721151
1,kp,200,200,200,200,200,200,,2023-05-27 16:02:07.721154
1,interfax,200,25,25,25,25,25,,2023-05-27 16:02:07.721157
1,vedomosti,200,200,200,200,200,190,,2023-05-27 16:02:07.721160
1,aif,200,294,294,294,294,294,,2023-05-27 16:02:07.721162
1,rg,200,100,100,100,100,0,,2023-05-27 16:02:07.721165
1,argumenti,200,30,30,30,30,30,,2023-05-27 16:02:07.721168
1,pravda,200,20,20,20,20,20,,2023-05-27 16:02:07.721170
1,fontanka,200,30,30,30,30,30,,2023-05-27 16:02:07.721173
1,rbc,200,30,30,30,30,30,,2023-05-27 16:02:07.721176
2,izvestia,403,,,,,,,2023-05-27 16:02:07.721179
3,izvestia,403,,,,,,,2023-05-27 16:02:07.721181
1,ria,200,100,0,100,100,100,,2023-05-27 18:02:12.173418
1,tass,200,100,100,100,100,100,,2023-05-27 18:02:12.173420
1,rosbalt,200,100,100,100,100,100,,2023-05-27 18:02:12.173421
1,ura,200,170,170,170,170,0,,2023-05-27 18:02:12.173422
1,mail,200,20,20,20,20,20,,2023-05-27 18:02:12.173423
1,regnum,200,100,100,100,100,97,,2023-05-27 18:02:12.173425
1,izvestia,403,,,,,,,2023-05-27 18:02:12.173426
1,lenta,200,200,200,200,200,200,,2023-05-27 18:02:12.173427
1,kp,200,200,200,200,200,200,,2023-05-27 18:02:12.173428
1,interfax,200,25,25,25,25,25,,2023-05-27 18:02:12.173430
1,vedomosti,200,200,200,200,200,190,,2023-05-27 18:02:12.173431
1,aif,,,,,,,"HTTPSConnectionPool(host='aif.ru', port=443): Read timed out. (read timeout=20)",2023-05-27 18:02:12.173432
1,rg,200,100,100,100,100,0,,2023-05-27 18:02:12.173433
1,argumenti,200,30,30,30,30,30,,2023-05-27 18:02:12.173435
1,pravda,200,20,20,20,20,20,,2023-05-27 18:02:12.173436
1,fontanka,200,30,30,30,30,30,,2023-05-27 18:02:12.173437
1,rbc,200,30,30,30,30,30,,2023-05-27 18:02:12.173438
2,izvestia,403,,,,,,,2023-05-27 18:02:12.173439
2,aif,200,287,286,287,287,287,,2023-05-27 18:02:12.173441
3,izvestia,403,,,,,,,2023-05-27 18:02:12.173442
