source,STATUS_CODE,title,summary,date,link,type,ERROR,TIME
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=5)",2023-05-24 06:01:05.355819
interfax,200,25,25,25,25,25,,2023-05-24 06:01:05.355822
vedomosti,200,200,200,200,200,189,,2023-05-24 06:01:05.355824
aif,200,277,277,277,277,277,,2023-05-24 06:01:05.355827
rg,200,100,100,100,100,0,,2023-05-24 06:01:05.355829
argumenti,200,30,30,30,30,30,,2023-05-24 06:01:05.355832
pravda,200,20,20,20,20,20,,2023-05-24 06:01:05.355835
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=5)",2023-05-24 06:01:05.355838
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=5)",2023-05-24 06:01:05.355840
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=5)",2023-05-24 06:01:05.355843
fontanka,200,30,30,30,30,30,,2023-05-24 06:01:05.355845
rbc,200,30,30,30,30,30,,2023-05-24 06:01:05.355848
ria,200,99,0,99,99,99,,2023-05-24 08:01:08.302012
tass,200,99,98,99,99,99,,2023-05-24 08:01:08.302017
rosbalt,200,100,100,100,100,100,,2023-05-24 08:01:08.302020
ura,200,170,170,170,170,0,,2023-05-24 08:01:08.302023
mail,200,20,20,20,20,20,,2023-05-24 08:01:08.302026
regnum,200,100,100,100,100,100,,2023-05-24 08:01:08.302028
izvestia,403,,,,,,,2023-05-24 08:01:08.302031
lenta,200,200,200,200,200,200,,2023-05-24 08:01:08.302034
kp,200,200,200,200,200,200,,2023-05-24 08:01:08.302037
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=5)",2023-05-24 08:01:08.302040
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=5)",2023-05-24 08:01:08.302042
interfax,200,25,25,25,25,25,,2023-05-24 08:01:08.302045
vedomosti,200,200,200,200,200,189,,2023-05-24 08:01:08.302048
aif,200,277,277,277,277,277,,2023-05-24 08:01:08.302050
rg,200,100,100,100,100,0,,2023-05-24 08:01:08.302053
argumenti,200,30,30,30,30,30,,2023-05-24 08:01:08.302056
pravda,200,20,20,20,20,20,,2023-05-24 08:01:08.302058
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=5)",2023-05-24 08:01:08.302061
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=5)",2023-05-24 08:01:08.302064
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=5)",2023-05-24 08:01:08.302066
fontanka,200,30,30,30,30,30,,2023-05-24 08:01:08.302069
rbc,200,30,30,30,30,30,,2023-05-24 08:01:08.302072
ria,200,100,0,100,100,100,,2023-05-24 10:01:00.399478
tass,200,96,90,96,96,96,,2023-05-24 10:01:00.399480
rosbalt,200,100,100,100,100,100,,2023-05-24 10:01:00.399481
ura,200,170,170,170,170,0,,2023-05-24 10:01:00.399483
mail,200,20,20,20,20,20,,2023-05-24 10:01:00.399484
regnum,,,,,,,"HTTPSConnectionPool(host='regnum.ru', port=443): Max retries exceeded with url: /rss (Caused by SSLError(SSLError(""bad handshake: SysCallError(104, 'ECONNRESET')"")))",2023-05-24 10:01:00.399485
izvestia,403,,,,,,,2023-05-24 10:01:00.399486
lenta,200,200,200,200,200,200,,2023-05-24 10:01:00.399487
kp,,,,,,,"HTTPSConnectionPool(host='www.kp.ru', port=443): Max retries exceeded with url: /rss/allsections.xml (Caused by SSLError(SSLError(""bad handshake: SysCallError(104, 'ECONNRESET')"")))",2023-05-24 10:01:00.399488
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=5)",2023-05-24 10:01:00.399490
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=5)",2023-05-24 10:01:00.399491
interfax,200,25,25,25,25,25,,2023-05-24 10:01:00.399492
vedomosti,200,200,200,200,200,189,,2023-05-24 10:01:00.399493
aif,200,276,275,276,276,276,,2023-05-24 10:01:00.399494
rg,200,100,100,100,100,0,,2023-05-24 10:01:00.399496
argumenti,200,30,30,30,30,30,,2023-05-24 10:01:00.399497
pravda,200,20,20,20,20,20,,2023-05-24 10:01:00.399498
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=5)",2023-05-24 10:01:00.399499
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=5)",2023-05-24 10:01:00.399501
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=5)",2023-05-24 10:01:00.399502
fontanka,200,30,30,30,30,30,,2023-05-24 10:01:00.399503
rbc,200,30,30,30,30,30,,2023-05-24 10:01:00.399504
ria,200,100,0,100,100,100,,2023-05-24 12:01:11.840505
tass,200,98,90,98,98,98,,2023-05-24 12:01:11.840507
rosbalt,200,100,100,100,100,100,,2023-05-24 12:01:11.840509
ura,200,170,170,170,170,0,,2023-05-24 12:01:11.840510
mail,200,20,20,20,20,20,,2023-05-24 12:01:11.840512
regnum,200,100,100,100,100,100,,2023-05-24 12:01:11.840513
izvestia,403,,,,,,,2023-05-24 12:01:11.840515
lenta,200,200,200,200,200,200,,2023-05-24 12:01:11.840516
kp,200,200,200,200,200,200,,2023-05-24 12:01:11.840517
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=5)",2023-05-24 12:01:11.840519
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=5)",2023-05-24 12:01:11.840520
interfax,200,25,25,25,25,25,,2023-05-24 12:01:11.840521
vedomosti,200,200,200,200,200,189,,2023-05-24 12:01:11.840523
aif,200,278,276,278,278,278,,2023-05-24 12:01:11.840524
rg,200,100,100,100,100,0,,2023-05-24 12:01:11.840525
argumenti,200,30,30,30,30,30,,2023-05-24 12:01:11.840527
pravda,200,20,20,20,20,20,,2023-05-24 12:01:11.840528
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=5)",2023-05-24 12:01:11.840530
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=5)",2023-05-24 12:01:11.840531
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=5)",2023-05-24 12:01:11.840532
fontanka,200,30,30,30,30,30,,2023-05-24 12:01:11.840534
rbc,200,30,30,30,30,30,,2023-05-24 12:01:11.840535
ria,200,100,0,100,100,100,,2023-05-24 14:34:15.963067
tass,200,100,86,100,100,100,,2023-05-24 14:34:15.963073
rosbalt,200,100,100,100,100,100,,2023-05-24 14:34:15.963076
ura,200,170,170,170,170,0,,2023-05-24 14:34:15.963079
mail,200,20,20,20,20,20,,2023-05-24 14:34:15.963081
regnum,200,100,100,100,100,100,,2023-05-24 14:34:15.963084
izvestia,403,,,,,,,2023-05-24 14:34:15.963087
lenta,200,200,200,200,200,200,,2023-05-24 14:34:15.963090
kp,200,200,200,200,200,200,,2023-05-24 14:34:15.963092
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=5)",2023-05-24 14:34:15.963095
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=5)",2023-05-24 14:34:15.963098
interfax,200,25,25,25,25,25,,2023-05-24 14:34:15.963101
vedomosti,200,200,200,200,200,188,,2023-05-24 14:34:15.963103
aif,200,281,281,281,281,281,,2023-05-24 14:34:15.963106
rg,200,100,100,100,100,0,,2023-05-24 14:34:15.963109
argumenti,200,30,30,30,30,30,,2023-05-24 14:34:15.963111
