source,STATUS_CODE,title,summary,date,link,type,ERROR,TIME
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=5)",2023-05-25 10:01:32.738820
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=5)",2023-05-25 10:01:32.738821
fontanka,200,30,30,30,30,30,,2023-05-25 10:01:32.738822
rbc,200,30,30,30,30,30,,2023-05-25 10:01:32.738823
thebell,,,,,,,"HTTPSConnectionPool(host='thebell.io', port=443): Read timed out. (read timeout=5)",2023-05-25 10:01:32.738824
ria,200,100,0,100,100,100,,2023-05-25 12:01:15.997761
tass,200,98,92,98,98,98,,2023-05-25 12:01:15.997767
rosbalt,200,100,100,100,100,100,,2023-05-25 12:01:15.997769
ura,200,170,170,170,170,0,,2023-05-25 12:01:15.997772
mail,200,20,20,20,20,20,,2023-05-25 12:01:15.997775
regnum,200,100,100,100,100,100,,2023-05-25 12:01:15.997778
izvestia,403,,,,,,,2023-05-25 12:01:15.997781
lenta,200,200,200,200,200,200,,2023-05-25 12:01:15.997784
kp,200,200,200,200,200,200,,2023-05-25 12:01:15.997787
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=5)",2023-05-25 12:01:15.997790
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=5)",2023-05-25 12:01:15.997793
interfax,200,25,25,25,25,25,,2023-05-25 12:01:15.997795
vedomosti,200,200,200,200,200,188,,2023-05-25 12:01:15.997798
aif,200,299,299,299,299,299,,2023-05-25 12:01:15.997801
rg,200,100,100,100,100,0,,2023-05-25 12:01:15.997804
argumenti,200,30,30,30,30,30,,2023-05-25 12:01:15.997806
pravda,200,20,20,20,20,20,,2023-05-25 12:01:15.997809
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=5)",2023-05-25 12:01:15.997812
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=5)",2023-05-25 12:01:15.997815
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=5)",2023-05-25 12:01:15.997818
fontanka,200,30,30,30,30,30,,2023-05-25 12:01:15.997821
rbc,200,30,30,30,30,30,,2023-05-25 12:01:15.997823
thebell,,,,,,,"HTTPSConnectionPool(host='thebell.io', port=443): Read timed out. (read timeout=5)",2023-05-25 12:01:15.997826
ria,200,100,0,100,100,100,,2023-05-25 14:01:09.152489
tass,200,97,94,97,97,97,,2023-05-25 14:01:09.152500
rosbalt,200,100,100,100,100,100,,2023-05-25 14:01:09.152502
ura,200,170,170,170,170,0,,2023-05-25 14:01:09.152505
mail,200,20,20,20,20,20,,2023-05-25 14:01:09.152507
regnum,200,100,100,100,100,100,,2023-05-25 14:01:09.152510
izvestia,403,,,,,,,2023-05-25 14:01:09.152513
lenta,200,200,200,200,200,200,,2023-05-25 14:01:09.152515
kp,200,200,200,200,200,200,,2023-05-25 14:01:09.152517
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=5)",2023-05-25 14:01:09.152520
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=5)",2023-05-25 14:01:09.152522
interfax,200,25,25,25,25,25,,2023-05-25 14:01:09.152524
vedomosti,200,200,200,200,200,189,,2023-05-25 14:01:09.152527
aif,200,293,293,293,293,293,,2023-05-25 14:01:09.152529
rg,200,100,100,100,100,0,,2023-05-25 14:01:09.152532
argumenti,200,30,30,30,30,30,,2023-05-25 14:01:09.152534
pravda,200,20,20,20,20,20,,2023-05-25 14:01:09.152537
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=5)",2023-05-25 14:01:09.152540
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=5)",2023-05-25 14:01:09.152542
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=5)",2023-05-25 14:01:09.152544
fontanka,200,30,30,30,30,30,,2023-05-25 14:01:09.152547
rbc,200,30,30,30,30,30,,2023-05-25 14:01:09.152549
thebell,,,,,,,"HTTPSConnectionPool(host='thebell.io', port=443): Read timed out. (read timeout=5)",2023-05-25 14:01:09.152551
ria,200,100,0,100,100,100,,2023-05-25 16:01:10.103147
tass,200,100,84,100,100,100,,2023-05-25 16:01:10.103152
rosbalt,200,100,100,100,100,100,,2023-05-25 16:01:10.103155
ura,200,170,170,170,170,0,,2023-05-25 16:01:10.103158
mail,200,20,20,20,20,20,,2023-05-25 16:01:10.103160
regnum,200,100,100,100,100,100,,2023-05-25 16:01:10.103163
izvestia,403,,,,,,,2023-05-25 16:01:10.103166
lenta,200,200,200,200,200,200,,2023-05-25 16:01:10.103169
kp,200,200,200,200,200,200,,2023-05-25 16:01:10.103171
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=5)",2023-05-25 16:01:10.103174
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=5)",2023-05-25 16:01:10.103177
interfax,200,25,25,25,25,25,,2023-05-25 16:01:10.103179
vedomosti,200,200,200,200,200,189,,2023-05-25 16:01:10.103182
aif,403,,,,,,,2023-05-25 16:01:10.103185
rg,200,100,100,100,100,0,,2023-05-25 16:01:10.103188
argumenti,200,30,30,30,30,30,,2023-05-25 16:01:10.103190
pravda,200,20,20,20,20,20,,2023-05-25 16:01:10.103193
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=5)",2023-05-25 16:01:10.103196
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=5)",2023-05-25 16:01:10.103199
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=5)",2023-05-25 16:01:10.103201
fontanka,200,30,30,30,30,30,,2023-05-25 16:01:10.103204
rbc,200,30,30,30,30,30,,2023-05-25 16:01:10.103207
thebell,,,,,,,"HTTPSConnectionPool(host='thebell.io', port=443): Read timed out. (read timeout=5)",2023-05-25 16:01:10.103209
ria,200,100,0,100,100,100,,2023-05-25 18:01:14.813556
tass,200,95,87,95,95,95,,2023-05-25 18:01:14.813568
rosbalt,200,100,100,100,100,100,,2023-05-25 18:01:14.813571
ura,200,170,170,170,170,0,,2023-05-25 18:01:14.813574
mail,200,20,20,20,20,20,,2023-05-25 18:01:14.813577
regnum,200,100,100,100,100,100,,2023-05-25 18:01:14.813579
izvestia,403,,,,,,,2023-05-25 18:01:14.813582
lenta,200,200,200,200,200,200,,2023-05-25 18:01:14.813585
kp,200,200,200,200,200,200,,2023-05-25 18:01:14.813587
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=5)",2023-05-25 18:01:14.813590
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=5)",2023-05-25 18:01:14.813593
interfax,200,25,25,25,25,25,,2023-05-25 18:01:14.813596
vedomosti,200,200,200,200,200,189,,2023-05-25 18:01:14.813599
aif,200,292,292,292,292,292,,2023-05-25 18:01:14.813601
rg,200,100,100,100,100,0,,2023-05-25 18:01:14.813604
argumenti,200,30,30,30,30,30,,2023-05-25 18:01:14.813607
pravda,200,20,20,20,20,20,,2023-05-25 18:01:14.813609
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=5)",2023-05-25 18:01:14.813612
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=5)",2023-05-25 18:01:14.813615
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=5)",2023-05-25 18:01:14.813618
fontanka,200,30,30,30,30,30,,2023-05-25 18:01:14.813620
rbc,200,30,30,30,30,30,,2023-05-25 18:01:14.813623
thebell,,,,,,,"HTTPSConnectionPool(host='thebell.io', port=443): Read timed out. (read timeout=5)",2023-05-25 18:01:14.813626
novyagazeta,,,,,,,"HTTPSConnectionPool(host='novayagazeta.eu', port=443): Read timed out. (read timeout=5)",2023-05-25 18:01:14.813628
ria,200,100,0,100,100,100,,2023-05-25 20:01:19.754357
tass,200,99,94,99,99,99,,2023-05-25 20:01:19.754362
rosbalt,200,100,100,100,100,100,,2023-05-25 20:01:19.754365
ura,200,170,170,170,170,0,,2023-05-25 20:01:19.754368
mail,200,20,20,20,20,20,,2023-05-25 20:01:19.754370
regnum,200,100,100,100,100,100,,2023-05-25 20:01:19.754373
izvestia,403,,,,,,,2023-05-25 20:01:19.754375
lenta,200,200,200,200,200,200,,2023-05-25 20:01:19.754377
kp,200,200,200,200,200,200,,2023-05-25 20:01:19.754380
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=5)",2023-05-25 20:01:19.754382
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=5)",2023-05-25 20:01:19.754385
interfax,200,25,25,25,25,25,,2023-05-25 20:01:19.754387
vedomosti,200,200,200,200,200,189,,2023-05-25 20:01:19.754390
aif,403,,,,,,,2023-05-25 20:01:19.754392
rg,200,100,100,100,100,0,,2023-05-25 20:01:19.754395
argumenti,200,30,30,30,30,30,,2023-05-25 20:01:19.754397
pravda,200,20,20,20,20,20,,2023-05-25 20:01:19.754400
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=5)",2023-05-25 20:01:19.754402
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=5)",2023-05-25 20:01:19.754405
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=5)",2023-05-25 20:01:19.754407
fontanka,200,30,30,30,30,30,,2023-05-25 20:01:19.754409
rbc,200,30,30,30,30,30,,2023-05-25 20:01:19.754412
thebell,,,,,,,"HTTPSConnectionPool(host='thebell.io', port=443): Read timed out. (read timeout=5)",2023-05-25 20:01:19.754415
novyagazeta,,,,,,,"HTTPSConnectionPool(host='novayagazeta.eu', port=443): Read timed out. (read timeout=5)",2023-05-25 20:01:19.754417
ria,200,100,0,100,100,100,,2023-05-25 22:01:15.193012
tass,200,98,95,98,98,98,,2023-05-25 22:01:15.193017
rosbalt,200,100,100,100,100,100,,2023-05-25 22:01:15.193020
ura,200,170,170,170,170,0,,2023-05-25 22:01:15.193022
mail,200,20,20,20,20,20,,2023-05-25 22:01:15.193025
regnum,200,100,100,100,100,100,,2023-05-25 22:01:15.193028
izvestia,403,,,,,,,2023-05-25 22:01:15.193031
lenta,200,200,200,200,200,200,,2023-05-25 22:01:15.193033
kp,200,200,200,200,200,200,,2023-05-25 22:01:15.193036
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=5)",2023-05-25 22:01:15.193038
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=5)",2023-05-25 22:01:15.193041
interfax,200,25,25,25,25,25,,2023-05-25 22:01:15.193044
vedomosti,200,200,200,200,200,189,,2023-05-25 22:01:15.193046
aif,403,,,,,,,2023-05-25 22:01:15.193049
rg,200,100,100,100,100,0,,2023-05-25 22:01:15.193052
argumenti,200,30,30,30,30,30,,2023-05-25 22:01:15.193054
pravda,200,20,20,20,20,20,,2023-05-25 22:01:15.193057
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=5)",2023-05-25 22:01:15.193059
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=5)",2023-05-25 22:01:15.193062
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=5)",2023-05-25 22:01:15.193064
fontanka,200,30,30,30,30,30,,2023-05-25 22:01:15.193113
rbc,200,30,30,30,30,30,,2023-05-25 22:01:15.193118
thebell,,,,,,,"HTTPSConnectionPool(host='thebell.io', port=443): Read timed out. (read timeout=5)",2023-05-25 22:01:15.193121
novyagazeta,,,,,,,"HTTPSConnectionPool(host='novayagazeta.eu', port=443): Read timed out. (read timeout=5)",2023-05-25 22:01:15.193123
aif,,,,,,,"HTTPSConnectionPool(host='aif.ru', port=443): Read timed out. (read timeout=5)",2023-05-25 22:30:23.786743
aif,200,294,294,294,294,294,,2023-05-25 22:32:24.629102
ria,200,100,0,100,100,100,,2023-05-26 00:05:11.513312
tass,200,98,97,98,98,98,,2023-05-26 00:05:11.513317
rosbalt,200,100,100,100,100,100,,2023-05-26 00:05:11.513319
ura,200,170,170,170,170,0,,2023-05-26 00:05:11.513322
mail,200,20,20,20,20,20,,2023-05-26 00:05:11.513325
regnum,,,,,,,"HTTPSConnectionPool(host='regnum.ru', port=443): Read timed out. (read timeout=20)",2023-05-26 00:05:11.513327
izvestia,403,,,,,,,2023-05-26 00:05:11.513330
lenta,200,200,200,200,200,200,,2023-05-26 00:05:11.513332
kp,200,200,200,200,200,200,,2023-05-26 00:05:11.513335
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=20)",2023-05-26 00:05:11.513337
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=20)",2023-05-26 00:05:11.513340
interfax,200,25,25,25,25,25,,2023-05-26 00:05:11.513342
vedomosti,200,200,200,200,200,189,,2023-05-26 00:05:11.513345
aif,200,295,295,295,295,295,,2023-05-26 00:05:11.513347
rg,200,100,100,100,100,0,,2023-05-26 00:05:11.513349
argumenti,200,30,30,30,30,30,,2023-05-26 00:05:11.513352
pravda,200,20,20,20,20,20,,2023-05-26 00:05:11.513354
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=20)",2023-05-26 00:05:11.513357
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=20)",2023-05-26 00:05:11.513359
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=20)",2023-05-26 00:05:11.513361
fontanka,200,30,30,30,30,30,,2023-05-26 00:05:11.513364
rbc,200,30,30,30,30,30,,2023-05-26 00:05:11.513366
thebell,,,,,,,"HTTPSConnectionPool(host='thebell.io', port=443): Read timed out. (read timeout=20)",2023-05-26 00:05:11.513368
novyagazeta,,,,,,,"HTTPSConnectionPool(host='novayagazeta.eu', port=443): Read timed out. (read timeout=20)",2023-05-26 00:05:11.513371
ria,200,100,0,100,100,100,,2023-05-26 02:04:41.842535
tass,200,97,96,97,97,97,,2023-05-26 02:04:41.842540
rosbalt,200,100,100,100,100,100,,2023-05-26 02:04:41.842542
ura,200,170,170,170,170,0,,2023-05-26 02:04:41.842545
mail,200,20,20,20,20,20,,2023-05-26 02:04:41.842547
regnum,200,100,100,100,100,100,,2023-05-26 02:04:41.842550
izvestia,403,,,,,,,2023-05-26 02:04:41.842553
lenta,200,200,200,200,200,200,,2023-05-26 02:04:41.842555
kp,200,200,200,200,200,200,,2023-05-26 02:04:41.842557
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=20)",2023-05-26 02:04:41.842560
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=20)",2023-05-26 02:04:41.842562
interfax,200,25,25,25,25,25,,2023-05-26 02:04:41.842565
vedomosti,200,200,200,200,200,191,,2023-05-26 02:04:41.842567
aif,200,297,297,297,297,297,,2023-05-26 02:04:41.842570
rg,200,100,100,100,100,0,,2023-05-26 02:04:41.842572
argumenti,200,30,30,30,30,30,,2023-05-26 02:04:41.842575
pravda,200,20,20,20,20,20,,2023-05-26 02:04:41.842577
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=20)",2023-05-26 02:04:41.842580
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=20)",2023-05-26 02:04:41.842582
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=20)",2023-05-26 02:04:41.842584
fontanka,200,30,30,30,30,30,,2023-05-26 02:04:41.842587
rbc,200,30,30,30,30,30,,2023-05-26 02:04:41.842589
thebell,,,,,,,"HTTPSConnectionPool(host='thebell.io', port=443): Read timed out. (read timeout=20)",2023-05-26 02:04:41.842592
novyagazeta,,,,,,,"HTTPSConnectionPool(host='novayagazeta.eu', port=443): Read timed out. (read timeout=20)",2023-05-26 02:04:41.842594
ria,200,100,0,100,100,100,,2023-05-26 04:04:39.631253
tass,200,97,95,97,97,97,,2023-05-26 04:04:39.631255
rosbalt,200,100,100,100,100,100,,2023-05-26 04:04:39.631256
ura,200,170,170,170,170,0,,2023-05-26 04:04:39.631258
mail,200,20,20,20,20,20,,2023-05-26 04:04:39.631259
regnum,200,100,100,100,100,100,,2023-05-26 04:04:39.631260
izvestia,403,,,,,,,2023-05-26 04:04:39.631261
lenta,200,200,200,200,200,200,,2023-05-26 04:04:39.631262
kp,200,200,200,200,200,200,,2023-05-26 04:04:39.631263
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=20)",2023-05-26 04:04:39.631265
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=20)",2023-05-26 04:04:39.631266
interfax,200,25,25,25,25,25,,2023-05-26 04:04:39.631267
vedomosti,200,200,200,200,200,190,,2023-05-26 04:04:39.631268
aif,200,299,299,299,299,299,,2023-05-26 04:04:39.631269
rg,200,100,100,100,100,0,,2023-05-26 04:04:39.631271
argumenti,200,30,30,30,30,30,,2023-05-26 04:04:39.631272
pravda,200,20,20,20,20,20,,2023-05-26 04:04:39.631273
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=20)",2023-05-26 04:04:39.631274
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=20)",2023-05-26 04:04:39.631275
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=20)",2023-05-26 04:04:39.631276
fontanka,200,30,30,30,30,30,,2023-05-26 04:04:39.631277
rbc,200,30,30,30,30,30,,2023-05-26 04:04:39.631279
thebell,,,,,,,"HTTPSConnectionPool(host='thebell.io', port=443): Read timed out. (read timeout=20)",2023-05-26 04:04:39.631280
novyagazeta,,,,,,,"HTTPSConnectionPool(host='novayagazeta.eu', port=443): Read timed out. (read timeout=20)",2023-05-26 04:04:39.631281
ria,200,100,0,100,100,100,,2023-05-26 06:04:38.673956
tass,200,98,97,98,98,98,,2023-05-26 06:04:38.673959
rosbalt,200,100,100,100,100,100,,2023-05-26 06:04:38.673960
ura,200,170,170,170,170,0,,2023-05-26 06:04:38.673961
mail,200,20,20,20,20,20,,2023-05-26 06:04:38.673963
regnum,200,100,100,100,100,100,,2023-05-26 06:04:38.673964
izvestia,403,,,,,,,2023-05-26 06:04:38.673965
lenta,200,200,200,200,200,200,,2023-05-26 06:04:38.673966
kp,200,200,200,200,200,200,,2023-05-26 06:04:38.673968
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=20)",2023-05-26 06:04:38.673969
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=20)",2023-05-26 06:04:38.673970
interfax,200,25,25,25,25,25,,2023-05-26 06:04:38.673971
vedomosti,200,200,200,200,200,190,,2023-05-26 06:04:38.673972
aif,200,300,300,300,300,300,,2023-05-26 06:04:38.673973
rg,200,100,100,100,100,0,,2023-05-26 06:04:38.673975
argumenti,200,30,30,30,30,30,,2023-05-26 06:04:38.673976
pravda,200,20,20,20,20,20,,2023-05-26 06:04:38.673977
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=20)",2023-05-26 06:04:38.673978
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=20)",2023-05-26 06:04:38.673980
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=20)",2023-05-26 06:04:38.673981
fontanka,200,30,30,30,30,30,,2023-05-26 06:04:38.673982
rbc,200,30,30,30,30,30,,2023-05-26 06:04:38.673983
thebell,,,,,,,"HTTPSConnectionPool(host='thebell.io', port=443): Read timed out. (read timeout=20)",2023-05-26 06:04:38.673984
novyagazeta,,,,,,,"HTTPSConnectionPool(host='novayagazeta.eu', port=443): Read timed out. (read timeout=20)",2023-05-26 06:04:38.673986
ria,200,100,0,100,100,100,,2023-05-26 08:04:56.979804
tass,200,98,97,98,98,98,,2023-05-26 08:04:56.979808
rosbalt,200,100,100,100,100,100,,2023-05-26 08:04:56.979811
ura,200,170,170,170,170,0,,2023-05-26 08:04:56.979813
mail,200,20,20,20,20,20,,2023-05-26 08:04:56.979816
regnum,200,100,100,100,100,100,,2023-05-26 08:04:56.979819
izvestia,403,,,,,,,2023-05-26 08:04:56.979821
lenta,200,200,200,200,200,200,,2023-05-26 08:04:56.979823
kp,200,200,200,200,200,200,,2023-05-26 08:04:56.979826
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=20)",2023-05-26 08:04:56.979828
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=20)",2023-05-26 08:04:56.979831
interfax,200,25,25,25,25,25,,2023-05-26 08:04:56.979833
vedomosti,200,200,200,200,200,190,,2023-05-26 08:04:56.979835
aif,200,299,299,299,299,299,,2023-05-26 08:04:56.979838
rg,200,100,100,100,100,0,,2023-05-26 08:04:56.979840
argumenti,200,30,30,30,30,30,,2023-05-26 08:04:56.979842
pravda,200,20,20,20,20,20,,2023-05-26 08:04:56.979845
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=20)",2023-05-26 08:04:56.979847
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=20)",2023-05-26 08:04:56.979850
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=20)",2023-05-26 08:04:56.979852
fontanka,200,30,30,30,30,30,,2023-05-26 08:04:56.979855
rbc,200,30,30,30,30,30,,2023-05-26 08:04:56.979857
thebell,,,,,,,"HTTPSConnectionPool(host='thebell.io', port=443): Read timed out. (read timeout=20)",2023-05-26 08:04:56.979859
novyagazeta,,,,,,,"HTTPSConnectionPool(host='novayagazeta.eu', port=443): Read timed out. (read timeout=20)",2023-05-26 08:04:56.979861
ria,200,100,0,100,100,100,,2023-05-26 10:04:38.796538
tass,200,100,98,100,100,100,,2023-05-26 10:04:38.796544
rosbalt,200,100,100,100,100,100,,2023-05-26 10:04:38.796546
ura,200,170,170,170,170,0,,2023-05-26 10:04:38.796549
mail,200,20,20,20,20,20,,2023-05-26 10:04:38.796551
regnum,200,100,100,100,100,100,,2023-05-26 10:04:38.796554
izvestia,403,,,,,,,2023-05-26 10:04:38.796557
lenta,200,200,200,200,200,200,,2023-05-26 10:04:38.796559
kp,200,200,200,200,200,200,,2023-05-26 10:04:38.796561
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=20)",2023-05-26 10:04:38.796564
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=20)",2023-05-26 10:04:38.796566
interfax,200,25,25,25,25,25,,2023-05-26 10:04:38.796569
vedomosti,200,200,200,200,200,190,,2023-05-26 10:04:38.796571
aif,200,303,301,303,303,303,,2023-05-26 10:04:38.796574
rg,200,100,100,100,100,0,,2023-05-26 10:04:38.796576
argumenti,200,30,30,30,30,30,,2023-05-26 10:04:38.796578
pravda,200,20,20,20,20,20,,2023-05-26 10:04:38.796581
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=20)",2023-05-26 10:04:38.796583
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=20)",2023-05-26 10:04:38.796586
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=20)",2023-05-26 10:04:38.796588
fontanka,200,30,30,30,30,30,,2023-05-26 10:04:38.796590
rbc,200,30,30,30,30,30,,2023-05-26 10:04:38.796593
thebell,,,,,,,"HTTPSConnectionPool(host='thebell.io', port=443): Read timed out. (read timeout=20)",2023-05-26 10:04:38.796595
novyagazeta,,,,,,,"HTTPSConnectionPool(host='novayagazeta.eu', port=443): Read timed out. (read timeout=20)",2023-05-26 10:04:38.796597
ria,200,100,0,100,100,100,,2023-05-26 12:04:40.985475
tass,200,99,92,99,99,99,,2023-05-26 12:04:40.985488
rosbalt,200,100,100,100,100,100,,2023-05-26 12:04:40.985491
ura,200,170,170,170,170,0,,2023-05-26 12:04:40.985494
mail,200,20,20,20,20,20,,2023-05-26 12:04:40.985497
regnum,200,100,100,100,100,99,,2023-05-26 12:04:40.985500
izvestia,403,,,,,,,2023-05-26 12:04:40.985503
lenta,200,200,200,200,200,200,,2023-05-26 12:04:40.985505
kp,200,200,200,200,200,200,,2023-05-26 12:04:40.985508
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=20)",2023-05-26 12:04:40.985511
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=20)",2023-05-26 12:04:40.985513
interfax,200,25,25,25,25,25,,2023-05-26 12:04:40.985516
vedomosti,200,200,200,200,200,190,,2023-05-26 12:04:40.985519
aif,200,302,301,302,302,302,,2023-05-26 12:04:40.985521
rg,200,100,100,100,100,0,,2023-05-26 12:04:40.985524
argumenti,200,30,30,30,30,30,,2023-05-26 12:04:40.985526
pravda,200,20,20,20,20,20,,2023-05-26 12:04:40.985529
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=20)",2023-05-26 12:04:40.985532
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=20)",2023-05-26 12:04:40.985535
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=20)",2023-05-26 12:04:40.985538
fontanka,200,30,30,30,30,30,,2023-05-26 12:04:40.985540
rbc,200,30,30,30,30,30,,2023-05-26 12:04:40.985543
thebell,,,,,,,"HTTPSConnectionPool(host='thebell.io', port=443): Read timed out. (read timeout=20)",2023-05-26 12:04:40.985546
novyagazeta,,,,,,,"HTTPSConnectionPool(host='novayagazeta.eu', port=443): Read timed out. (read timeout=20)",2023-05-26 12:04:40.985548
ria,200,100,0,100,100,100,,2023-05-26 14:05:05.600813
tass,200,98,96,98,98,98,,2023-05-26 14:05:05.600818
rosbalt,200,100,100,100,100,100,,2023-05-26 14:05:05.600821
ura,200,170,170,170,170,0,,2023-05-26 14:05:05.600823
mail,200,20,20,20,20,20,,2023-05-26 14:05:05.600826
regnum,200,100,100,100,100,99,,2023-05-26 14:05:05.600828
izvestia,403,,,,,,,2023-05-26 14:05:05.600831
lenta,200,200,200,200,200,200,,2023-05-26 14:05:05.600833
kp,200,200,200,200,200,200,,2023-05-26 14:05:05.600836
