title,summary,date,link,type,source,date_parsed
В Волгоградской области задержали напавшего на одноклассницу выпускника,,2023-5-23,https://ria.ru/20230523/vypusknik-1873736191.html,Лента новостей,ria,2023-05-23 23:53:38.157007
В Саратове из горящего дома спасли мейн-куна и овчарку,,2023-5-23,https://ria.ru/20230523/spasenie-1873736039.html,Лента новостей,ria,2023-05-23 23:53:38.157008
В ЛДПР сравнили украинские ДРГ с власовцами и назвали клоунами,,2023-5-23,https://ria.ru/20230523/drg-1873735848.html,Лента новостей,ria,2023-05-23 23:53:38.157009
"Отношения России и Республики Сербской развиваются успешно, заявил Путин",,2023-5-23,https://ria.ru/20230523/otnosheniya-1873735563.html,Лента новостей,ria,2023-05-23 23:53:38.157011
"ВСУ похвастались новыми ""наемниками"" и опозорились",,2023-5-23,https://ria.ru/20230523/vsu-1873734828.html,Лента новостей,ria,2023-05-23 23:53:38.157012
"Россия была вынуждена начать спецоперацию, заявил Додик",,2023-5-23,https://ria.ru/20230523/spetsoperatsiya-1873734720.html,Лента новостей,ria,2023-05-23 23:53:38.157013
Минобороны показало поврежденную технику с места уничтожения ДРГ,,2023-5-23,https://ria.ru/20230523/tekhnika-1873733293.html,Лента новостей,ria,2023-05-23 23:53:38.157014
Путин поблагодарил Додика за нейтралитет в конфликте на Украине,,2023-5-23,https://ria.ru/20230523/serbia-1873732748.html,Лента новостей,ria,2023-05-23 23:53:38.157015
Гладков опубликовал фото трофейной бронемашины украинской ДРГ,,2023-5-23,https://ria.ru/20230523/tekhnika-1873732655.html,Лента новостей,ria,2023-05-23 23:53:38.157016
В ДТП с маршруткой под Саратовом пострадали два человека,,2023-5-23,https://ria.ru/20230523/avariya-1873731695.html,Лента новостей,ria,2023-05-23 23:53:38.157017
"Бар в Самаре прокомментировал дебош лидера ""Зверей"" словами из песен группы",,2023-5-23,https://ria.ru/20230523/zveri-1873731396.html,Лента новостей,ria,2023-05-23 23:53:38.157018
Нидерланды выделят 260 миллионов евро на закупку боеприпасов для Украины,,2023-5-23,https://ria.ru/20230523/boepripasy-1873730555.html,Лента новостей,ria,2023-05-23 23:53:38.157020
"Зорькин рассказал, какие жалобы поступают в Конституционный суд",,2023-5-23,https://ria.ru/20230523/sud-1873730421.html,Лента новостей,ria,2023-05-23 23:53:38.157021
На юго-западе Москвы нашли подозрительный предмет с проводами,,2023-5-23,https://ria.ru/20230523/predmet-1873729187.html,Лента новостей,ria,2023-05-23 23:53:38.157022
"Россия справедливо рассчитывает на дружбу с арабским миром, заявили в ОАЭ",,2023-5-23,https://ria.ru/20230523/oae-1873729049.html,Лента новостей,ria,2023-05-23 23:53:38.157023
СМИ: украинцы заговорили о преступлениях Зеленского,,2023-5-23,https://ria.ru/20230523/ukraina-1873728469.html,Лента новостей,ria,2023-05-23 23:53:38.157024
Гладков опроверг сообщения о падении вертолета в Белгородской области,,2023-5-23,https://ria.ru/20230523/vertolet-1873728189.html,Лента новостей,ria,2023-05-23 23:53:38.157025
Три села в Курской области остались без света из-за взрывного устройства,,2023-5-23,https://ria.ru/20230523/bespilotnik-1873727771.html,Лента новостей,ria,2023-05-23 23:53:38.157026
Ученые предупредили о риске смертельной жары,,2023-5-23,https://ria.ru/20230523/zhara-1873727634.html,Лента новостей,ria,2023-05-23 23:53:38.157027
